gloss,text
WE  NOT TURN BLIND EYE .,we must not turn a blind eye .
MANKIND HAVE  WITNESS ACT VIOLENCE AGAINST PALESTINIAN  SEVERAL YEAR NOW .,mankind has been witnessing acts of violence against the palestinians for several years now .
ISRAELI WAR MACHINE HAVE  STRIKE OUT MERCILESSLY ON PRETEXT SELF DEFENSE .,the israeli war machine has been striking out mercilessly on the pretext of self defence .
PALESTINIAN PEOPLE  SUFFER .,the palestinian people are suffering .
"WE CONDEMN MURDER CIVILIAN IN ISRAEL ALSO ,  ALL WE HEART  SOUL .","we condemn the murder of civilians in israel also , with all our heart and soul ."
IT DO NOT GIVE ISRAEL ALIBI  ENGAGE IN SUCH CRIMINAL ACT .,it does not give israel an alibi for engaging in such criminal acts .
"COURSE WE  NOT PUBLIC PROSECUTOR , HOWEVER , NOR DO ROLE PONTIUS PILATE BECOME WE .","of course we are not public prosecutors , however , nor does the role of pontius pilate become us ."
WE CAN NOT WASH WE HAND  ALLOW BLOODSHED  CONTINUE   ISRAEL POSS CRIME  GO UNPUNISHED .,we cannot wash our hands and allow the bloodshed to continue and for israel's crimes to go unpunished .
"IN WISH   RESPECTFUL  FAIL  ACT , WE  ALLOW UNACCOUNTABILITY  RAGE .","in wishing to be respectful and failing to act , we are allowing unaccountability to rage ."
WE  LET PERPETRATOR GO UNPUNISHED   PLAY FAST  LOOSE  VICTIM .,we are letting the perpetrator go unpunished and are playing fast and loose with the victim .
WE  ALLOW LAW   RIGHT  PREVAIL .,we are allowing the law of might is right to prevail .
"DE MR PRESIDENT , GOLDSTONE REPORT DESCRIBE HUMAN RIGHTS VIOLATION  BOTH SIDE .","de mr president , the goldstone report describes human rights violations by both sides ."
OVER 1 400 VICTIM IN GAZA STRIP  OBVIOUSLY TOO MANY .,over 1 400 victims in the gaza strip are obviously too many .
QUESTION EXTENT  WHICH HAMA USE CIVILIAN AS SHIELD HAVE NOT  ADEQUATELY INVESTIGATE .,the question of the extent to which hamas used civilians as shields has not been adequately investigated .
"HOWEVER , REPORT MENTION  ISRAELI ARMY PROVIDE WARN  MEANS TELEPHONE CALL  FLYER .","however , the report mentions that the israeli army provided warnings by means of telephone calls and flyers ."
HAMA DO NOTHING LIKE  IN CONNECTION  ROCKET ATTACK ON ISRAEL .,hamas did nothing like this in connection with the rocket attacks on israel .
"IT PERHAPS DO NOT HELP ANY FURR , EIR .","it perhaps does not help any further , either ."
"THIRTEEN PACIFIST GROUP , SUCH AS BETHLEHEM  BREAK SILENCE ,  VICTIM VERITABLE WITCH HUNT .","thirteen pacifist groups , such as bethlehem and breaking the silence , are the victims of a veritable witch hunt ."
EUROPEAN UNION  PROTECT ISRAEL FROM ITS OWN DEMON .,the european union must protect israel from its own demons .
RE NEED   INDEPENDENT INVESTIGATION INTO ALLEGE BREACH HUMAN RIGHTS .,there needs to be an independent investigation into alleged breaches of human rights .
RAR  HAVE  IRA  Y POLITICAL REPRESENTATIVE .,rather that has been the ira and their political representatives .
IT  ALSO GO   DEBATE IN HUMAN RIGHTS COUNCIL .,it is also going to be debated in the human rights council .
"MY PREDECESSOR , LOUUS MICHEL , GO  GAZA IMMEDIATELY AFTER OPERATION CAST LEAD .","my predecessor , louis michel , went to gaza immediately after operation cast lead ."
HE EYE WITNESS VIOLATION ON BOTH SIDE  HE SPEAK UP AGAINST THOSE .,he eye witnessed violations on both sides and he spoke up against those .
WE IN COMMISSION   KEEN  TWO ISSUE  ALWAYS  HIGH ON WE AGENDA .,we in the commission are very keen that two issues should always be high on our agenda .
VOTE WILL TAKE PLACE DURING NEXT SIT .,the vote will take place during the next sitting .
"UNFORTUNATELY , NEIR ISRAEL NOR PALESTINIAN HAVE AS YET COMPLY   REQUEST .","unfortunately , neither israel nor the palestinians have as yet complied with this request ."
"ACCORD  REPORT , DURING THREE WEEK LONG ATTACK , ISRAEL COMMIT MAJOR VIOLATION INTERNATIONAL LAW .","according to the report , during the three week long attacks , israel committed major violations of international law ."
"USE PHOSPHORUS BOMB , CONDEMN  INTERNATIONAL COMMUNITY , HAVE ALSO  MENTION .","the use of phosphorus bombs , condemned by the international community , has also been mentioned ."
"ACCUSATION   SERIOUS  IT  IMPERATIVE  Y  INVESTIGATE ,  QUICKLY .","the accusations are so serious that it is imperative that they be investigated , and quickly ."
JUSTICE GOLDSTONE DO NOT SHOW SUFFICIENT CARE WHEN EXAMINE EVIDENCE .,justice goldstone did not show sufficient care when examining the evidence .
EUROPEAN UNION TAKE CARE  ECONOMIC RELATION  ISRAEL  AS GOOD AS POSSIBLE .,the european union takes care that economic relations with israel are as good as possible .
"REFORE , IT  EVEN MORE IMPORTANT  WE  ABLE  BUILD WE RELATION ON MUTUAL TRUST .","therefore , it is even more important that we are able to build our relations on mutual trust ."
RELIANCE ON REPORT JUSTICE GOLDSTONE ALONE WILL NOT CONTRIBUTE   .,reliance on the report of justice goldstone alone will not contribute to this .
SITUATION CIVIL SOCIETY  NATIONAL MINORITY IN BELARUS DEBATE,situation of civil society and national minorities in belarus debate
"MR PRESIDENT , MY THANKS  SPANISH PRESIDENCY   COMMISSION  Y WORD ON  SITUATION .","mr president , my thanks to the spanish presidency and to the commission for their words on this situation ."
I  LIKE  SAY  UNDERLINE  MUCH    NOT POLISH ISSUE .,i would like to say and underline very much that this is not a polish issue .
BELARUS  IN NEIGHBORHOOD EUROPEAN UNION .,belarus is in the neighbourhood of the european union .
IT  INCLUDE IN EASTERN PARTNERSHIP .,it is included in the eastern partnership .
I THINK  MESSAGE   MAKE CLEAR  REGIME .,i think this message must be made clear to the regime .
"IT  PEOPLE LIVE IN BELARUS STUDENT , MAN  WOMAN , SOCIETY .","it is the people living in belarus the students , men and women , society ."
IN EUROPEAN COUNTRY IN 21ST CENTURY .,this is in a european country in the 21st century .
I THINK   ISSUE WHICH  NOT ACCEPTABLE  WE CAN ALL AGREE ON  .,i think this is an issue which is not acceptable and we can all agree on that .
START POINT .,this is the starting point .
SECOND QUESTION  HOW WE CAN ACHIEVE  .,the second question is how we can achieve this .
"NL I , TOO , REGARD  EVENING POSS DEBATE AS MORE REGIONAL MATTER .","nl I , too , regard this evening's debate as more of a regional matter ."
WE HAVE SEE  MR YANUKOVICH HAVE  ELECT IN UKRAINE .,we have seen that mr yanukovich has been elected in ukraine .
HE  CLEARLY PRESIDENT WHO  LOOK MORE  MOSCOW THAN  BRUSSELS .,he is clearly a president who is looking more to moscow than to brussels .
WE  NOT ALLOW HE VISIT NEXT WEEK  PULL WOOL OVER WE EYE .,we must not allow his visit next week to pull the wool over our eyes .
", COURSE , CONSEQUENCE EUROPE HAVE TURN ITS BACK TOO MUCH ON EAST .","this is , of course , a consequence of europe having turned its back too much on the east ."
WE HAVE NOT  OPEN ENOUGH  IDEA GENUINE ACCESS  SE COUNTRY .,we have not been open enough to the idea of genuine access to these countries .
LET WE LOOK  WE ENERGY POLICY  LET WE ATTUNE IT MORE  COUNTRY LIKE BELARUS  UKRAINE .,let us look at our energy policy and let us attune it more to countries like belarus and ukraine .
WE   CONCERN ABOUT HUMAN RIGHTS SITUATION IN BELARUS .,we should be concerned about the human rights situation in belarus .
"IF LUKASHENKO DO NOT UNDERSTAND LANGUAGE EUROPEAN VALUE , HE WILL CERTAINLY UNDERSTAND LANGUAGE SANCTION .","if lukashenko does not understand the language of european values , he will certainly understand the language of sanctions ."
ONE WAY STREET LEAD NOWHERE .,this one way street leads nowhere .
"AS WE HEAR TODAY , SE  MOSTLY ELDERLY PEOPLE .","as we hear today , these were mostly elderly people ."
MINORITY RIGHTS AS PART HUMAN RIGHTS CAN NOT  CONSIDER INTERNAL MATTER .,minority rights as part of human rights cannot be considered an internal matter .
ISSUE CAN NOT  CONSIDER POLISH BELARUSIAN INTERNAL AFFAIR .,this issue cannot be considered a polish belarusian internal affair .
"FIRSTLY , ALLOW I  SAY  RE  ,  , NO ETHNIC CONFLICT HERE .","firstly , allow me to say that there is , really , no ethnic conflict here ."
NOT POLISH BELARUSIAN  BELARUSIAN POLISH CONFLICT .,this is not a polish belarusian or a belarusian polish conflict .
IT  HAVE HAPPEN  ANY  MINORITY .,it could have happened to any other minority .
WHY HAVE IT HAPPEN  POLISH MINORITY ?,why has it happened to the polish minority ?
"REFORE , IT START  WE .","therefore , it started with us ."
I  LIKE  ASK WHAT WE  DO .,i would like to ask what we should do .
"I HAVE HAVE OPPORTUNITY  SPEAK  MR MILINKEVICH  MR BORY TWICE , NOW .","i have had the opportunity to speak to mr milinkevich and mrs borys twice , now ."
Y DECLARE WE  LOYAL CITIZEN BELARUS  DO NOT WANT ANY ECONOMIC SANCTION .,they declared we are loyal citizens of belarus and do not want any economic sanctions .
"WE DO NOT WANT POLITICAL SANCTION , WE WANT RAPPROCHEMENT BELARUS  EUROPEAN UNION .","we do not want political sanctions , we want a rapprochement of belarus and the european union ."
"WE , TOO ,  PROCEED LIKE  .","we , too , should proceed like this ."
CHARGE  VISA  VISA POLICY NECESSARY  ALL ?,are charges for visas and a visa policy necessary at all ?
"IT  GOOD  , TOMORROW , WE FACT FIND MISSION  GO  BELARUS .","it is good that , tomorrow , our fact finding mission is going to belarus ."
"LET WE AWAIT ITS REPORT ,  ONLY N WILL WE DECIDE ON FURR ACTION .","let us await its report , and only then will we decide on further action ."
DEFEAT WHICH HAVE AFFECT UNION POSS CREDIBILITY .,this is a defeat which has affected the union's credibility .
"EUROPEAN UNION  , TODAY , WEAK  UNDECIDED PLAYER .","the european union is , today , a weak and undecided player ."
SHE USE  MONEY  RENOVATE RUIN BUILDING IN TOWN CENTER .,she used this money to renovate a ruined building in the town centre .
SHE N TRANSFORM BUILDING INTO VIBRANT CULTURAL  SOCIAL CENTER  POLISH MINORITY .,she then transformed the building into a vibrant cultural and social centre for the polish minority .
POLICE  SEND  SE PEOPLE BEFORE COURT HAVE RULE ON LEGAL STATUS BUILDING .,the police were sent to these people before a court had ruled on the legal status of the building .
NOT PACE ADOPT INTERNATIONAL STANDARD .,this is not a pace of adopting international standards .
"REFORE , I  LIKE  SAY ONE MORE THING .","therefore , I would like to say one more thing ."
"WE CAN TALK ABOUT SANCTION ,  TIME WILL COME   .","we can talk about sanctions , and the time will come for this ."
I  ALSO LIKE  SUPPORT COMMISSIONER POSS VIEW  WE  CONTINUE COOPERATION  MAINTAIN PEOPLE  PEOPLE CONTACT .,i would also like to support the commissioner's view that we must continue cooperation and maintain people to people contacts .
"LET WE HOPE  OPEN DISCUSSION , BOTH  OPPOSITION   GOVERNMENT .","let us hope for open discussions , both with the opposition and with the government ."
IMPRISONMENT POLITICAL OPPONENT  INTIMIDATION MINORITY REPRESENTATIVE  WELL KNOW PRACTICE USE  AUTHORITARIAN REGIME .,imprisonment of political opponents and intimidation of minority representatives are well known practices used by authoritarian regimes .
HARASSMENT NATIONAL MINORITY  PART POLITICAL PRACTICE IN UNDEMOCRATIC REGIME .,harassment of national minorities is part of the political practice in undemocratic regimes .
"I SUSPECT  MR GEORGIEVA POSS STATEMENT  HAVE  SAME TWO WEEK AGO , BEFORE SE EVENT .","i suspect that mrs georgieva's statement would have been the same two weeks ago , before these events ."
CERTAINLY NOT ACCEPTABLE .,this is certainly not acceptable .
"EUROPEAN UNION HAVE SHOW GOOD WILL , PARTIALLY LIFT VISA SANCTION AGAINST BELARUSIAN OFFICIAL .","the european union has shown good will , partially lifting visa sanctions against belarusian officials ."
BELARUSIAN SOCIETY  MOSTLY MAKE UP PEOPLE WHO CAN ONLY DREAM ABOUT VALUE LIKE  .,belarusian society is mostly made up of people who can only dream about values like this .
"REFORE , WE EXPECT EUROPEAN COMMISSION  DEVELOP STRATEGIC PLAN  HELP CIVIL SOCIETY .","therefore , we expect the european commission to develop a strategic plan to help civil society ."
WE REFORE BELIEVE  IT  IMPORTANT  BELARUS   IN EASTERN PARTNERSHIP .,we therefore believe that it is important for belarus to be in the eastern partnership .
COMMISSION POSS SERVICE HAVE PREPARE DRAFT  JOINT INTERIM PLAN  REFORM .,the commission's services have prepared a draft of this joint interim plan for reforms .
LET I MAKE MY FOURTH  LAST POINT .,let me make my fourth and last point .
"IN MY CASE , IT LEAD I  LONDON SCHOOL ECONOMICS .","in my case , it led me to the london school of economics ."
VOTE WILL TAKE PLACE DURING NEXT MONTHLY SESSION .,the vote will take place during the next monthly session .
WHY FREQUENT MEETING BETWEEN REPRESENTATIVE CIVIL SOCIETY  GOVERNMENT   ENCOURAGE .,this is why frequent meetings between representatives of civil society and the government must be encouraged .
BELARUSIAN AUTHORITY DO NOT TOLERATE ANY INDEPENDENCE .,the belarusian authorities do not tolerate any independence .
"Y DO NOT WANT ,  Y DO NOT ACCEPT , IDEA CIVIL SOCIETY .","they do not want , and they do not accept , the idea of civil society ."
EVERY MANIFESTATION INDEPENDENCE  TREAT AS POLITICAL OPPOSITION .,every manifestation of independence is treated as political opposition .
POLITICIAN WHO BEHAVE IN  WAY SURELY DO NOT UNDERSTAND  Y  DO EXACTLY WHAT LUKASHENKO EXPECT .,politicians who behave in this way surely do not understand that they are doing exactly what lukashenko expects .
IT  IN HE INTEREST  POLARISE  DIVIDE PUBLIC OPINION IN POLAND  EUROPE .,it is in his interests to polarise and divide public opinion in poland and europe .
BEIJ + 15 UN PLATFORM  ACTION  GENDER EQUALITY DEBATE,beijing + 15 un platform for action for gender equality debate
NEXT ITEM  DEBATE ON FOLLOW,the next item is the debate on the following
I  LIKE  THANK WE COLLEAGUE ON COMMITTEE  MUCH  Y GOOD COOPERATION .,i would like to thank our colleagues on the committee very much for their good cooperation .
PLATFORM ADOPT IN 1995 WITHIN FRAMEWORK UNITE NATION  HISTORICALLY IMPORTANT STEP .,the platform adopted in 1995 within the framework of the united nations was an historically important step .
PLATFORM  ACTION ADOPT  FIRST GLOBAL DOCUMENT ITS TYPE .,the platform for action adopted was the first global document of its type .
IT TAKE OVERALL VIEW WOMAN POSS CONDITION  RIGHTS .,it took an overall view of women's conditions and rights .
UNIVERSAL DECLARATION COMPRISE 30 ARTICLE  Y  OFTEN CITE .,the universal declaration comprises 30 articles and they are often cited .
BEIJING PLATFORM CONTAIN NUMBER AREA   INCREDIBLY IMPORTANT IF WE   MAKE PROGRESS .,the beijing platform contains a number of areas that are incredibly important if we are to make progress .
I ENTIRELY AGREE  PPE GROUP  PARAGRAPH 9  CENTRAL .,i entirely agree with the ppe group that paragraph 9 is central .
WHY WE DEBATE  DISCUSS .,that is why we debate and discuss .
"WORDING  MINIMUM , HOWEVER ,    ABLE   SUPPORT  EVERYONE .","this wording is a minimum , however , and should be able to be supported by everyone ."
NO  WORDING HAVE  PROPOSE  REPLACE PARAGRAPH I  TALK  SPECIFICALLY ABOUT EUROPE 2020 STRATEGY .,no other wording has been proposed to replace paragraph I am talking very specifically about the europe 2020 strategy .
WE HAVE COME FULL CIRCLE .,we have come full circle .
WE WILL BOTH TAKE FLOOR DURING PLENARY SESSION .,we will both take the floor during the plenary session .
"I THINK   , TOO ,   STRONG SYMBOL .","i think that this , too , is a very strong symbol ."
"INDEED , WE KNOW  WELL  WITHOUT CONTRIBUTION WOMAN , RE WILL  NO DEVELOPMENT .","indeed , we know very well that without the contribution of women , there will be no development ."
WE ALL KNOW  CREATION BEIJING PLATFORM  ACTION REPRESENT MAJOR STEP FORWARD .,we all know that the creation of the beijing platform for action represented a major step forward .
